data_start_value,classid,instanceid,tradable,skin_type,market_name,market_hash_name,commodity,timestamp
0,5431947203,519977179,1,Exceptional Agent,'Blueberries' Buckshot | NSWC SEAL,'Blueberries' Buckshot | NSWC SEAL,0,2023-07-25 07:41:31.527947
1,5426091690,519977179,1,Master Agent,'Medium Rare' Crasswater | Guerrilla Warfare,'Medium Rare' Crasswater | Guerrilla Warfare,0,2023-07-25 07:41:31.527947
2,5429076332,519977179,1,Master Agent,'The Doctor' Romanov | Sabre,'The Doctor' Romanov | Sabre,0,2023-07-25 07:41:31.527947
3,5423245660,519977179,1,Superior Agent,'Two Times' McCoy | TACP Cavalry,'Two Times' McCoy | TACP Cavalry,0,2023-07-25 07:41:31.527947
4,4663194985,519977179,1,Superior Agent,'Two Times' McCoy | USAF TACP,'Two Times' McCoy | USAF TACP,0,2023-07-25 07:41:31.527947
5,4966010279,143865972,1,Base Grade Container,10 Year Birthday Sticker Capsule,10 Year Birthday Sticker Capsule,1,2023-07-25 07:41:31.527947
6,5429077226,519977179,1,Superior Agent,1st Lieutenant Farlow | SWAT,1st Lieutenant Farlow | SWAT,0,2023-07-25 07:41:31.527947
7,4292377293,143865972,1,Base Grade Container,2020 RMR Challengers,2020 RMR Challengers,1,2023-07-25 07:41:31.527947
8,4292377294,143865972,1,Base Grade Container,2020 RMR Contenders,2020 RMR Contenders,1,2023-07-25 07:41:31.527947
9,4292377292,143865972,1,Base Grade Container,2020 RMR Legends,2020 RMR Legends,1,2023-07-25 07:41:31.527947
10,4566759046,143865972,1,Base Grade Container,2021 Community Sticker Capsule,2021 Community Sticker Capsule,1,2023-07-25 07:41:31.527947
11,3608084295,519977179,1,Distinguished Agent,3rd Commando Company | KSK,3rd Commando Company | KSK,0,2023-07-25 07:41:31.527947
12,5423240191,188530139,1,Exotic Collectible,Aces High Pin,Aces High Pin,1,2023-07-25 07:41:31.527947
13,5428740682,188530139,1,Covert Rifle,AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge (Battle-Scarred),0,2023-07-25 07:41:31.527947
14,5433431684,480085569,1,Covert Rifle,AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge (Factory New),0,2023-07-25 07:41:31.527947
15,5302580570,480085569,1,Covert Rifle,AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge (Field-Tested),0,2023-07-25 07:41:31.527947
16,5433433366,188530139,1,Covert Rifle,AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge (Minimal Wear),0,2023-07-25 07:41:31.527947
17,5434486448,188530139,1,Covert Rifle,AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge (Well-Worn),0,2023-07-25 07:41:31.527947
18,5408561997,188530139,1,Covert Rifle,AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov (Battle-Scarred),0,2023-07-25 07:41:31.527947
19,5427617778,480085569,1,Covert Rifle,AK-47 | Asiimov (Factory New),AK-47 | Asiimov (Factory New),0,2023-07-25 07:41:31.527947
20,5434850158,480085569,1,Covert Rifle,AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov (Field-Tested),0,2023-07-25 07:41:31.527947
21,5434643543,480085569,1,Covert Rifle,AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov (Minimal Wear),0,2023-07-25 07:41:31.527947
22,3113552610,188530139,1,Covert Rifle,AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov (Well-Worn),0,2023-07-25 07:41:31.527947
23,3608087146,519977179,1,Industrial Grade Rifle,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,2023-07-25 07:41:31.527947
24,4873866644,519977179,1,Industrial Grade Rifle,AK-47 | Baroque Purple (Factory New),AK-47 | Baroque Purple (Factory New),0,2023-07-25 07:41:31.527947
25,5434850630,519977179,1,Industrial Grade Rifle,AK-47 | Baroque Purple (Field-Tested),AK-47 | Baroque Purple (Field-Tested),0,2023-07-25 07:41:31.527947
26,5432589996,519977179,1,Industrial Grade Rifle,AK-47 | Baroque Purple (Minimal Wear),AK-47 | Baroque Purple (Minimal Wear),0,2023-07-25 07:41:31.527947
27,3608084772,519977179,1,Industrial Grade Rifle,AK-47 | Baroque Purple (Well-Worn),AK-47 | Baroque Purple (Well-Worn),0,2023-07-25 07:41:31.527947
28,5226974007,0,1,Mil-Spec Grade Rifle,AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate (Battle-Scarred),0,2023-07-25 07:41:31.527947
29,5431070125,480085569,1,Mil-Spec Grade Rifle,AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate (Factory New),0,2023-07-25 07:41:31.527947
30,5433624591,0,1,Mil-Spec Grade Rifle,AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate (Field-Tested),0,2023-07-25 07:41:31.527947
31,5433262834,480085569,1,Mil-Spec Grade Rifle,AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate (Minimal Wear),0,2023-07-25 07:41:31.527947
32,496033481,519977179,1,Mil-Spec Grade Rifle,AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate (Well-Worn),0,2023-07-25 07:41:31.527947
33,5433414691,480085569,1,Covert Rifle,AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport (Factory New),0,2023-07-25 07:41:31.527947
34,2220010935,188530139,1,Covert Rifle,AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport (Field-Tested),0,2023-07-25 07:41:31.527947
35,5393589525,188530139,1,Covert Rifle,AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport (Minimal Wear),0,2023-07-25 07:41:31.527947
36,5431953031,188530139,1,Covert Rifle,AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport (Well-Worn),0,2023-07-25 07:41:31.527947
37,5433200814,188530139,1,Restricted Rifle,AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate (Factory New),0,2023-07-25 07:41:31.527947
38,5431987885,188530139,1,Restricted Rifle,AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate (Field-Tested),0,2023-07-25 07:41:31.527947
39,5433996513,188530139,1,Restricted Rifle,AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate (Minimal Wear),0,2023-07-25 07:41:31.527947
40,5434626646,188530139,1,Restricted Rifle,AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate (Well-Worn),0,2023-07-25 07:41:31.527947
41,5434358985,188530139,1,Classified Rifle,AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel (Battle-Scarred),0,2023-07-25 07:41:31.527947
42,5433429289,480085569,1,Classified Rifle,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,2023-07-25 07:41:31.527947
43,5433427134,188530139,1,Classified Rifle,AK-47 | Cartel (Field-Tested),AK-47 | Cartel (Field-Tested),0,2023-07-25 07:41:31.527947
44,5427625521,188530139,1,Classified Rifle,AK-47 | Cartel (Minimal Wear),AK-47 | Cartel (Minimal Wear),0,2023-07-25 07:41:31.527947
45,720386235,188530139,1,Classified Rifle,AK-47 | Cartel (Well-Worn),AK-47 | Cartel (Well-Worn),0,2023-07-25 07:41:31.527947
46,5426084626,188530139,1,Classified Rifle,AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened (Battle-Scarred),0,2023-07-25 07:41:31.527947
47,5433514838,480085569,1,Classified Rifle,AK-47 | Case Hardened (Factory New),AK-47 | Case Hardened (Factory New),0,2023-07-25 07:41:31.527947
48,5430322310,480085569,1,Classified Rifle,AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened (Field-Tested),0,2023-07-25 07:41:31.527947
49,4840765115,480085569,1,Classified Rifle,AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened (Minimal Wear),0,2023-07-25 07:41:31.527947
50,2166100040,188530139,1,Classified Rifle,AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened (Well-Worn),0,2023-07-25 07:41:31.527947
51,5417376225,188530139,1,Mil-Spec Grade Rifle,AK-47 | Elite Build (Battle-Scarred),AK-47 | Elite Build (Battle-Scarred),0,2023-07-25 07:41:31.527947
52,5426263631,188530139,1,Mil-Spec Grade Rifle,AK-47 | Elite Build (Factory New),AK-47 | Elite Build (Factory New),0,2023-07-25 07:41:31.527947
53,5426392261,188530139,1,Mil-Spec Grade Rifle,AK-47 | Elite Build (Field-Tested),AK-47 | Elite Build (Field-Tested),0,2023-07-25 07:41:31.527947
54,937254005,188530139,1,Mil-Spec Grade Rifle,AK-47 | Elite Build (Minimal Wear),AK-47 | Elite Build (Minimal Wear),0,2023-07-25 07:41:31.527947
55,5427594477,188530139,1,Mil-Spec Grade Rifle,AK-47 | Elite Build (Well-Worn),AK-47 | Elite Build (Well-Worn),0,2023-07-25 07:41:31.527947
56,4840808609,302028390,1,Restricted Rifle,AK-47 | Emerald Pinstripe (Battle-Scarred),AK-47 | Emerald Pinstripe (Battle-Scarred),0,2023-07-25 07:41:31.527947
57,1423983480,480085569,1,Restricted Rifle,AK-47 | Emerald Pinstripe (Factory New),AK-47 | Emerald Pinstripe (Factory New),0,2023-07-25 07:41:31.527947
58,469457057,302028390,1,Restricted Rifle,AK-47 | Emerald Pinstripe (Field-Tested),AK-47 | Emerald Pinstripe (Field-Tested),0,2023-07-25 07:41:31.527947
